"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date","speed_5dayWindow","speed_7dayWindow"
202329,"Al-Farouq Aminu",1610612757,"POR",1,1,0,28.4,28.4,10555,2,1.07,0.92,4.23,4.8,3.69,2016-10-25,0,0
203459,"Allen Crabbe",1610612757,"POR",1,1,0,29.15,29.15,10395,1.97,0.98,0.98,4.11,4.38,3.88,2016-10-25,0,0
2760,"Anderson Varejao",1610612744,"GSW",1,0,1,3.17,3.17,1234,0.23,0.12,0.11,3.8,4.24,3.43,2016-10-25,0,0
2738,"Andre Iguodala",1610612744,"GSW",1,0,1,26.8,26.8,10110,1.91,0.95,0.96,4.27,5.15,3.98,2016-10-25,0,0
2564,"Boris Diaw",1610612762,"UTA",1,0,1,32.17,32.17,11321,2.14,1.23,0.92,3.92,4.21,3.59,2016-10-25,0,0
201943,"Brandon Jennings",1610612764,"WAS",1,0,1,21.23,21.23,8559,1.62,0.93,0.69,4.51,4.98,4.02,2016-10-25,0,0
1627854,"Bryn Forbes",1610612759,"SAS",1,1,0,3.68,3.68,1290,0.24,0.13,0.12,3.25,3.34,3.17,2016-10-25,0,0
203468,"CJ McCollum",1610612757,"POR",1,1,0,34.6,34.6,13333,2.53,1.33,1.19,4.34,5.05,3.76,2016-10-25,0,0
2546,"Carmelo Anthony",1610612752,"NYK",1,0,1,30.08,30.08,10297,1.95,1.01,0.94,4,4.09,3.51,2016-10-25,0,0
101112,"Channing Frye",1610612739,"CLE",1,1,0,14.13,14.13,5129,0.97,0.5,0.47,4.25,4.4,4.13,2016-10-25,0,0
2365,"Chris Andersen",1610612739,"CLE",1,1,0,5.57,5.57,2158,0.41,0.23,0.18,4.32,3.72,5.14,2016-10-25,0,0
201584,"Courtney Lee",1610612752,"NYK",1,0,1,19.62,19.62,7421,1.41,0.75,0.65,4.28,4.76,4.41,2016-10-25,0,0
203081,"Damian Lillard",1610612757,"POR",1,1,0,35.42,35.42,12538,2.37,1.32,1.05,4.06,4.49,3.67,2016-10-25,0,0
203957,"Dante Exum",1610612762,"UTA",1,0,1,8.33,8.33,3264,0.62,0.35,0.27,4.33,3.81,5,2016-10-25,0,0
101135,"David Lee",1610612759,"SAS",1,1,0,11.13,11.13,4499,0.85,0.46,0.39,4.85,5.04,4.63,2016-10-25,0,0
2561,"David West",1610612744,"GSW",1,0,1,10.65,10.65,3755,0.71,0.35,0.36,3.95,3.78,4.08,2016-10-25,0,0
202722,"Davis Bertans",1610612759,"SAS",1,1,0,3.68,3.68,1214,0.23,0.13,0.1,3.25,3.34,3.16,2016-10-25,0,0
202732,"DeAndre Liggins",1610612742,"DAL",1,1,0,12,12,5018,0.95,0.46,0.49,5.01,4.92,5.11,2016-10-25,0,0
201565,"Derrick Rose",1610612752,"NYK",1,0,1,29.58,29.58,11512,2.18,1.17,1.01,4.48,5.01,3.98,2016-10-25,0,0
203473,"Dewayne Dedmon",1610612759,"SAS",1,1,0,16.57,16.57,6204,1.18,0.64,0.53,4.34,4.17,3.78,2016-10-25,0,0
203110,"Draymond Green",1610612744,"GSW",1,0,1,32.62,32.62,11208,2.12,1.06,1.07,3.88,4.83,3.5,2016-10-25,0,0
202334,"Ed Davis",1610612757,"POR",1,1,0,24.12,24.12,8219,1.56,0.77,0.79,3.98,4.42,3.62,2016-10-25,0,0
202323,"Evan Turner",1610612757,"POR",1,1,0,26.02,26.02,9566,1.81,0.93,0.88,4.15,4.32,3.99,2016-10-25,0,0
201588,"George Hill",1610612762,"UTA",1,0,1,38.75,38.75,13716,2.6,1.44,1.16,4.02,4.16,3.88,2016-10-25,0,0
203546,"Ian Clark",1610612744,"GSW",1,0,1,13.37,13.37,5066,0.96,0.44,0.52,4.49,4.21,3.92,2016-10-25,0,0
202697,"Iman Shumpert",1610612739,"CLE",1,1,0,13.85,13.85,5650,1.07,0.6,0.47,4.77,5.06,4.46,2016-10-25,0,0
2747,"JR Smith",1610612739,"CLE",1,1,0,25.23,25.23,9302,1.76,0.99,0.78,4.29,4.59,3.96,2016-10-25,0,0
201580,"JaVale McGee",1610612744,"GSW",1,0,1,3.68,3.68,1168,0.22,0.12,0.1,3.25,3.17,3.34,2016-10-25,0,0
2592,"James Jones",1610612739,"CLE",1,1,0,5.5,5.5,2057,0.39,0.23,0.15,4.34,3.72,5.22,2016-10-25,0,0
203481,"Jeff Withey",1610612762,"UTA",1,0,1,4.85,4.85,1943,0.37,0.2,0.16,4.99,4.56,5.5,2016-10-25,0,0
201149,"Joakim Noah",1610612752,"NYK",1,0,1,19.52,19.52,7416,1.4,0.74,0.66,4.33,4.32,4.32,2016-10-25,0,0
