"player_id","player_name","team_id","team_abbreviation","gp","w","l","min","min1","dist_feet","dist_miles","dist_miles_off","dist_miles_def","avg_speed","avg_speed_off","avg_speed_def","date","dist_5dayWindow"
201143,"Al Horford",1610612738,"BOS",1,0,1,32.12,32.12,12028,2.28,1.19,1.09,4.34,4.74,3.98,2017-10-17,0
203382,"Aron Baynes",1610612738,"BOS",1,0,1,19.1,19.1,6755,1.28,0.72,0.56,4.1,4.09,4.1,2017-10-17,0
101108,"Chris Paul",1610612745,"HOU",1,1,0,33.07,33.07,11929,2.26,1.27,0.99,4.19,4.41,3.95,2017-10-17,0
203991,"Clint Capela",1610612745,"HOU",1,1,0,18.17,18.17,7360,1.39,0.81,0.59,4.66,4.59,4.75,2017-10-17,0
2561,"David West",1610612744,"GSW",1,0,1,9.42,9.42,3283,0.62,0.3,0.32,3.84,3.94,3.75,2017-10-17,0
201565,"Derrick Rose",1610612750,"MIN",1,1,0,31.25,31.25,12551,2.38,1.27,1.11,4.64,4.96,4.33,2017-10-17,0
203110,"Draymond Green",1610612744,"GSW",1,0,1,27.65,27.65,10364,1.96,1.02,0.94,4.35,4.56,3.74,2017-10-17,0
2548,"Dwyane Wade",1610612748,"MIA",1,1,0,28.5,28.5,10736,2.03,1.12,0.92,4.25,4.6,3.88,2017-10-17,0
201569,"Eric Gordon",1610612745,"HOU",1,1,0,29.38,29.38,10693,2.03,1.09,0.94,4.1,4.45,3.73,2017-10-17,0
202330,"Gordon Hayward",1610612738,"BOS",1,0,1,5.25,5.25,2227,0.42,0.23,0.19,4.62,4.62,4.61,2017-10-17,0
202697,"Iman Shumpert",1610612758,"SAC",1,1,0,12.85,12.85,4874,0.92,0.46,0.46,4.32,4.96,4.65,2017-10-17,0
2747,"JR Smith",1610612739,"CLE",1,1,0,21.92,21.92,8236,1.56,0.76,0.8,4.39,4.95,3.94,2017-10-17,0
203109,"Jae Crowder",1610612762,"UTA",1,1,0,34.73,34.73,13382,2.53,1.3,1.23,4.35,4.61,4.09,2017-10-17,0
201935,"James Harden",1610612745,"HOU",1,1,0,36.4,36.4,12004,2.27,1.24,1.03,3.8,3.62,3.66,2017-10-17,0
1627759,"Jaylen Brown",1610612738,"BOS",1,0,1,39.6,39.6,15105,2.86,1.57,1.29,4.42,4.85,3.99,2017-10-17,0
1628369,"Jayson Tatum",1610612738,"BOS",1,0,1,36.53,36.53,14072,2.67,1.47,1.2,4.47,4.91,4.01,2017-10-17,0
201145,"Jeff Green",1610612739,"CLE",1,1,0,14.23,14.23,5333,1.01,0.48,0.53,4.24,4.48,4.02,2017-10-17,0
1628395,"Jordan Bell",1610612744,"GSW",1,0,1,11.77,11.77,4675,0.89,0.48,0.41,4.6,4.9,4.27,2017-10-17,0
201142,"Kevin Durant",1610612744,"GSW",1,0,1,37.63,37.63,13512,2.56,1.33,1.23,4.16,4.56,3.53,2017-10-17,0
201567,"Kevin Love",1610612739,"CLE",1,1,0,28.4,28.4,11146,2.11,1.11,1,4.49,4.56,4.39,2017-10-17,0
1626172,"Kevon Looney",1610612744,"GSW",1,0,1,7.77,7.77,3017,0.57,0.24,0.33,4.64,4.04,3.77,2017-10-17,0
202691,"Klay Thompson",1610612744,"GSW",1,0,1,38.15,38.15,13965,2.64,1.4,1.24,4.1,4.74,3.54,2017-10-17,0
2594,"Kyle Korver",1610612739,"CLE",1,1,0,7.32,7.32,2625,0.5,0.24,0.26,4.2,3.35,5.06,2017-10-17,0
202681,"Kyrie Irving",1610612738,"BOS",1,0,1,39.35,39.35,14147,2.68,1.49,1.19,4.14,4.58,3.72,2017-10-17,0
2544,"LeBron James",1610612739,"CLE",1,1,0,41.2,41.2,14199,2.69,1.35,1.34,3.96,3.84,3.79,2017-10-17,0
201601,"Luc Mbah a Moute",1610612745,"HOU",1,1,0,23.38,23.38,9084,1.72,0.94,0.78,4.39,4.63,4.14,2017-10-17,0
203935,"Marcus Smart",1610612738,"BOS",1,0,1,35.05,35.05,12871,2.44,1.32,1.12,4.14,4.51,3.78,2017-10-17,0
201156,"Nick Young",1610612744,"GSW",1,0,1,26.17,26.17,9585,1.82,0.96,0.86,4.14,4.72,4.04,2017-10-17,0
201956,"Omri Casspi",1610612744,"GSW",1,0,1,4.47,4.47,1788,0.34,0.19,0.15,4.06,5.22,5.63,2017-10-17,0
200782,"P.J. Tucker",1610612745,"HOU",1,1,0,28.67,28.67,10789,2.04,1.1,0.95,4.2,4.39,3.99,2017-10-17,0
1627775,"Patrick McCaw",1610612744,"GSW",1,0,1,18.65,18.65,7264,1.38,0.72,0.65,4.51,4.59,4.43,2017-10-17,0
201583,"Ryan Anderson",1610612745,"HOU",1,1,0,33.28,33.28,12977,2.46,1.37,1.09,4.52,4.6,4.41,2017-10-17,0
1628400,"Semi Ojeleye",1610612738,"BOS",1,0,1,8.65,8.65,3559,0.67,0.41,0.27,4.86,4.95,4.76,2017-10-17,0
203499,"Shane Larkin",1610612738,"BOS",1,0,1,4.82,4.82,2031,0.38,0.24,0.14,5,4.26,3.03,2017-10-17,0
2733,"Shaun Livingston",1610612744,"GSW",1,0,1,18.55,18.55,7285,1.38,0.73,0.65,4.56,4.89,3.65,2017-10-17,0
201939,"Stephen Curry",1610612744,"GSW",1,0,1,29.55,29.55,11684,2.21,1.15,1.06,4.48,5.58,3.98,2017-10-17,0
1626179,"Terry Rozier",1610612738,"BOS",1,0,1,19.53,19.53,7887,1.49,0.86,0.63,4.63,5.21,3.96,2017-10-17,0
2772,"Trevor Ariza",1610612745,"HOU",1,1,0,37.65,37.65,13814,2.62,1.39,1.23,4.15,4.29,4,2017-10-17,0
202684,"Tristan Thompson",1610612739,"CLE",1,1,0,19.6,19.6,7615,1.44,0.7,0.74,4.29,4.67,3.96,2017-10-17,0
2585,"Zaza Pachulia",1610612744,"GSW",1,0,1,10.23,10.23,4054,0.77,0.35,0.42,4.71,4.05,4.17,2017-10-17,0
203932,"Aaron Gordon",1610612753,"ORL",1,1,0,34.22,34.22,13717,2.6,1.42,1.18,4.57,5.22,4,2017-10-18,0
1627846,"Abdel Nader",1610612738,"BOS",1,0,1,11.43,11.43,4638,0.88,0.52,0.36,4.71,4.59,4.87,2017-10-18,0
201143,"Al Horford",1610612738,"BOS",1,0,1,33.45,33.45,11804,2.24,1.27,0.96,3.97,4.44,3.81,2017-10-18,2.28
202329,"Al-Farouq Aminu",1610612757,"POR",1,1,0,27.7,27.7,10591,2.01,1.03,0.97,4.35,4.37,4.32,2017-10-18,0
202692,"Alec Burks",1610612762,"UTA",1,1,0,15.37,15.37,5213,0.99,0.54,0.45,3.92,3.54,3.51,2017-10-18,0
1628409,"Alec Peters",1610612756,"PHX",1,0,1,10.6,10.6,3679,0.7,0.38,0.31,3.97,5.46,2.92,2017-10-18,0
203459,"Allen Crabbe",1610612751,"BKN",1,0,1,26.78,26.78,10355,1.96,1.03,0.93,4.5,4.83,3.78,2017-10-18,0
101161,"Amir Johnson",1610612755,"PHI",1,0,1,15.13,15.13,5787,1.1,0.58,0.51,4.41,4.87,3.95,2017-10-18,0
203083,"Andre Drummond",1610612765,"DET",1,1,0,22.35,22.35,8571,1.62,0.85,0.78,4.31,4.09,4.54,2017-10-18,0
1626150,"Andrew Harrison",1610612763,"MEM",1,1,0,19.15,19.15,7177,1.36,0.73,0.63,4.4,4.12,4.04,2017-10-18,0
203952,"Andrew Wiggins",1610612750,"MIN",1,0,1,30.42,30.42,10893,2.06,1.04,1.02,4.15,3.99,3.91,2017-10-18,0
203076,"Anthony Davis",1610612740,"NOP",1,0,1,40.23,40.23,13710,2.6,1.37,1.23,3.89,4.43,3.4,2017-10-18,0
203382,"Aron Baynes",1610612738,"BOS",1,0,1,15.97,15.97,5625,1.07,0.61,0.45,4.18,4.27,4.08,2017-10-18,1.28
202340,"Avery Bradley",1610612746,"LAC",1,1,0,23.32,23.32,9549,1.81,0.93,0.88,4.64,4.57,4.71,2017-10-18,0
1628389,"Bam Adebayo",1610612748,"MIA",1,0,1,5.7,5.7,2353,0.45,0.23,0.22,4.24,3.78,4.82,2017-10-18,0
